date_debut,date_fin,titre_court,description_rapide,categorie,pays
2025-08-01,2025-09-01,Mises à jour nationales sur l’implémentation des règlements UE sur le bois,Page officielle de Chypre indiquant les dernières dispositions et révisions 2014-2025 concernant l’EUTR et les exigences de diligence raisonnable,Politique/Juridique/Économie,Cyprus
2013-03-25,2013-04-24,Bailout de Chypre,Un accord international de sauvetage de 10 milliards d'euros conduit à la fermeture de Laiki et à la recapitalisation du secteur bancaire,Politique/Économie,EU27/Chypre
2014-03-01,2014-03-31,Reprise des activités bancaires,Les banques rouvrent après les mesures d’urgence liées à la crise bancaire de 2013,Économie/Logistique,Chypre
2020-07-20,2020-12-31,Tensions avec la Turquie sur les ressources gazières,La Grèce-Cyprie et l’UE renforcent leur position face auxxpéditions turques dans les eaux contestées et les explorations gazières,Géopolitique/Global,Chypre/Turquie/UE
2020-03-11,2020-03-31,COVID-19 en Chypre,"Mesures sanitaires, confinement et soutien économique face à la pandémie",Sanitaire/Économie,Chypre
2023-02-28,2023-03-15,Élection présidentielle chypriote,"Nikos Christodoulides élu président, changement de direction politique",Politique,Chypre
2025-01-15,2025-12-31,Stabilité économique post-crise,Budgets et réformes soutiennent une croissance et une faible dette publique,Économie,Chypre
2014-03-11,2014-04-30,Malta citée pour compliance EUTR (timber regulation) par la Commission européenne,Informations sur les mesures prises par Malte pour transposer et appliquer l’EUTR afin d’éviter le bois illégal,Politique/Juridique/Économie/Environnement,Malta
2015-01-01,2015-12-31,Publication et entrée en vigueur des S.L. 549.94 et S.L. 549.95 (Timber/Forest Laws – FLEGT licensing scheme) à Malte,Mise en place des cadres légaux pour la traçabilité et la diligence raisonnable des produits bois et des licences FLEGT,Juridique/Économie/Environnement/Logistique,Malta
2020-01-01,2020-12-31,Renforcement des contrôles et des inspections des importations de bois à Malte,Amélioration des contrôles douaniers et de l’application des directives EUTR au niveau national,Politique/Économie/Logistique,Malta
2019-09-15,2019-12-15,Audit et programme de conformité EUTR/Traçabilité du bois importé à Malte,Mise en œuvre d’audits et de procédures pour s’assurer que les bois importés respectent la législation,Économie/Logistique/Juridique,Malta
2025-04-30,2025-05-28,Consultation publique sur le changement de compétence pour le régime FLEGT et les licences (S.L 549.95/S.L 549.94),Proposition de modification de l’autorité compétente et des dispositions relatives au FLEGT pour Malte,Politique/Juridique/Environnement,Malta
2021-06-01,2021-12-31,Intégration des règles FLEGT et des exigences de traçabilité des produits bois dans les procédures douanières maltaises,Adaptation des procédures d’importation et d’agrément pour les produits bois conformément aux accords FLEGT,Économie/Logistique,Malta
2013-03-09,2013-04-09,Élections générales de Malte 2013,Le Parti travailliste remporte les élections et forme le nouveau gouvernement,Politique/Géopolitique,Malta
2017-10-16,2017-11-30,Meurtre de Daphne Caruana Galizia,"Une voiture piégée tue la journaliste d'investigation Daphne Caruana Galizia, déclenchant une crise politique majeure",Politique/Juridique/Environnement,Malta
2020-01-14,2020-02-29,Démission de Joseph Muscat,Le Premier ministre annonce sa démission après le scandale lié au Panama Papers et à des allégations de corruption,Politique/Juridique,Malta
2020-03-10,2020-04-01,COVID-19 à Malte,Début des mesures sanitaires et économiques pour contenir la pandémie,Santé/Social/Économie,Malta
2021-07-29,2021-08-01,Rapport d’enquête sur le meurtre de Daphne Caruana Galizia,Rapport officiel conclut que l’État a failli protéger la journaliste et recommande des réformes,Politique/Juridique,Malta
2024-06-05,2024-07-01,Recommandations de charges dans l’enquête Electrogas,Une enquête judiciaire recommande des poursuites pour corruption liées au contrat Electrogas,Politique/Juridique/Économie,Malta
2025-02-01,2025-03-01,Élections ou transitions politiques anticipées supposées (contexte)*,Contexte politique maltais actuel marqué par des enquêtes et réformes post-incident,Politique/Juridique,Malta
2014-08-01,2014-12-01,Sanctions économiques sur le bois russe,Impact sur les exportations de bois russe et les chaînes d'approvisionnement,Politique/Géopolitique/Économie/Logistique,Russie
2014-11-01,2014-12-01,Quotas d'exportation de bois en Russie,Modification des volumes exportables et des routages commerciaux,Économie/Logistique,Russie
2017-01-01,2017-12-01,Introduction de quotas d'exportation de bois en Russie,Renforcement des contrôles et des volumes exportables,Économie/Logistique,Russie
2022-02-01,2022-12-01,Impact du conflit en Ukraine sur le transit du bois via Biélorussie/Ukraine,Répercussions sur les flux et les itinéraires de transport du bois,Politique/Économie/Logistique,Russie/Ukraine/Biélorussie
2021-07-01,2021-12-01,Sanctions UE-UK sur certains produits bois en transit,Règles de conformité et traçabilité renforcées pour le bois,Politique/Économie/Logistique,Royaume-Uni/UE
2013-03-01,2013-04-01,Accords commerciaux Russie-Kazakhstan sur le bois,Harmonisation des tarifs et des échanges de bois non-EU,Économie/Politique/Logistique,Russie/Kazakhstan
2019-05-01,2019-06-01,Renforcement des normes d'import bois en Turquie,Mesures douanières et certificats d'origine plus stricts,Logistique/Environnement/Juridique,Turquie
2015-09-01,2015-12-01,Exportations de bois norvégiennes vers l’UE non-EU,Stabilité des flux et adaptation des chaînes d'approvisionnement,Économie/Logistique,Norvège
2013-11-21,2014-02-22,Euromaidan,Poussée de protestations en Ukraine contre le gouvernement et les réformes,Politique/Géopolitique,Ukraine
2014-03-18,2014-03-18,Annexion de la Crimée par la Russie,La Crimée est intégrée fédéralement à la Fédération russe,Géopolitique/Politique,Crimée/Ukraine
2014-03-27,2014-03-27,Signature de l'Accord d'Association UE-Ukraine,Signature de l’accord politique et économique avec l’UE,Politique/Juridique/Economie,Ukraine
2016-06-23,2020-01-31,Brexit,Référendum et retrait du Royaume-Uni de l’Union européenne,Politique/Global,Royaume-Uni
2020-09-27,2020-11-10,Nagorno-Karabakh 2020,Conflit armé et retaking de territoires entre l’Azerbaïdjan et l’Arménie,Géopolitique/Conflit,Arménie/Azerbaïdjan
2022-02-24,2022-04-08,Invasion russe de l’Ukraine,Entrée en guerre massive du territoire ukrainien,Géopolitique/Global,Ukraine/Russie
2020-08-09,2020-08-31,Mouvements biélorusses post-élection 2020,Manifestations et répression suite à l’élection présidentielle,Social/Politique,Biélorussie
2023-07-14,2024-01-31,Tensions politiques en Géorgie,Crise constitutionnelle et tensions liées à l’orientation européenne,Politique/Géopolitique,Géorgie
2021-07-01,2021-12-31,Crise politique et élections en Moldova 2021,Changement de gouvernement et politiques pro-européennes,Politique/Economie,Moldova
2022-12-01,2023-12-31,Imposition de sanctions et réformes énergétiques en Ukraine et partenaires,Réformes économiques et géopolitiques en contexte de guerre,Économie/Géopolitique,Ukraine/Russie
2013-11-21,2014-02-20,Révoltes et réformes en Ukraine (réformes politiques échelonnées),Procédure politique et montée du mouvement pro-européen,Politique/Géopolitique,Ukraine
2012-11-08,2012-11-14,18e Congrès du Parti communiste chinois,Conférence majeure renouvelant les dirigeants et établissant les grandes orientations pour les temps à venir,Politique/Géopolitique,Chine
2013-11-09,2013-11-12,Troisième Plénum du 18e C.C.,Annonce des réformes économiques et institutionnelles majeures visant à libéraliser partiellement l’économie et à renforcer l’initiative du marché,Politique/Économie,Chine
2013-09-07,2013-09-07,Belt and Road Initiative (BRI) lancée,"Initiative de coopération sur les infrastructures et le commerce reliant l’Asie, l’Europe et l’Afrique",Politique/Économie/Global,Chine
2015-06-12,2015-07-31,Crise boursière chinoise de l’été 2015,Chute des marchés actions chinois et intervention gouvernementale visant à stabiliser les bourses,Économie/Politique,Chine
2017-10-18,2017-10-24,19e Congrès national du PCC,Renforcement des enjeux de politique économique et de contrôle politique avec nomination d’un nouveau leadership,Politique/Géopolitique,Chine
2018-07-06,2019-01-01,Guerre commerciale USA-Chine,Série de tarifs et mesures protectionnistes réciproques affectant l’économie chinoise et les chaînes d’approvisionnement mondiales,Économie/Politique,Chine/USA
2019-06-09,2019-12-31,Protests à Hong Kong,Mouvements sociaux et politiques massifs réclamant des réformes démocratiques et des garanties juridiques,Social/Politique,Chine/Hong Kong
2020-01-23,2020-12-31,Confinement et gestion de la COVID-19,Mesures strictes de confinement et de contrôle sanitaire mises en œuvre en Chine et qui influencent les échanges économiques et sociaux,Sanitaire/Politique,Chine
2022-10-16,2022-10-22,20e Congrès national du PCC,Confirmation du leadership et des orientations pour la 14e Five-Year Plan et les politiques macroéconomiques,Politique/Géopolitique,Chine
2024-01-01,2025-12-31,Continuation des objectifs de la 14e Five-Year Plan,"Poursuite des objectifs économiques et sociaux, avec accent sur l’innovation, la sécurité et l’indépendance technologique",Économie/Technologie/Politique,Chine
2017-08-01,2018-02-01,Tarifs sur le bois d'œuvre canadien,Introduction de tarifs d'importation sur le bois d'œuvre résineux canadien,Économie/Juridique,USA/Canada
2018-07-01,2019-12-01,Tarifs américains sur les produits forestiers importés de Chine,Ralentissement temporaire des exportations de bois vers la Chine en raison des tarifs,Économie/Politique,USA/Chine
2020-03-01,2020-12-01,Impact de la COVID-19 sur le commerce des produits forestiers,Perturbations des chaînes d'approvisionnement et fluctuations des échanges,Économie/Logistique,USA/Global
2021-05-01,2021-12-01,Pic des prix du bois et reprise du secteur de la construction,Hausse des prix du bois et hausse des exportations américaines de bois,Économie/Logistique,USA/Canada/Global
2023-01-01,2023-04-01,Limitation des exportations de bois sur certaines espèces pour raisons environnementales,Règlementation visant durabilité et traçabilité du bois exporté,Environnement/Économie,USA/Global
2025-03-01,2025-04-01,Cadre politique sur l'approvisionnement en bois domestique,Débat et mise en place potentielle de mesures pour accroître l'approvisionnement intérieur,Politique/Économie,USA/Global
2012-11-06,2012-12-06,Élection présidentielle américaine 2012,Barack Obama réélu président des États-Unis face à Mitt Romney,Politique/Économie,USA
2013-10-01,2013-10-31,Fermeture partielle du gouvernement,Fermeture partielle du gouvernement fédéral due à l’impasse budgétaire,Politique,USA
2013-12-23,2014-01-23,Date limite Obamacare pour les inscriptions,Date limite initiale pour s’inscrire à l’Affordable Care Act,Politique/Santé,USA
2014-11-03,2014-12-03,Ouverture du One World Trade Center,Ouverture du plus haut gratte-ciel de New York sur le site du World Trade Center,Économie/Logistique,USA
2015-07-14,2015-08-14,Accord nucléaire JCPOA signé,Accord historique entre l’Iran et les grandes puissances sur le nucléaire,Géopolitique/Environnement,Monde
2015-12-12,2016-01-12,Adoption de l’Accord de Paris,Accord de Paris sur le climat adopté à la COP21 et signataires,Environnement/Global,Monde/USA
2016-11-08,2016-12-08,Élection présidentielle américaine 2016,Donald Trump élu président des États-Unis,Politique,USA
2017-01-20,2017-02-20,Investiture de Donald Trump,Investiture du 45e président des États-Unis,Politique,USA
2017-12-22,2018-01-22,Signature de la Tax Cuts and Jobs Act,Réforme fiscale majeure réduisant les impôts des entreprises et des individus,Économie/Politique,USA
2018-03-07,2018-04-07,Affaire Cambridge Analytica,Fuite et scandale lié à l’exploitation de données sur Facebook et son impact politique,Technologie/Social,USA
2019-12-18,2020-01-18,Impeachment de Donald Trump par la Chambre,Chambre des représentants approuve deux articles d’impeachment,Politique/Juridique,USA
